"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"650.6257_69.1","-0.34383579","-0.17316958"," 0.56571127","-0.12198507"," 0.50353780","-0.07875224","-0.22625835"," 0.72848872","-1.70344935"," 1.00561262"," 0.96428972","-0.46221256"," 0.97988605"," 0.60529342"," 0.24516561","-0.55673288"," 1.17942264","-0.14103365"," 0.71682596","-3.10853100","-0.57827333"
"650.7818_229.3"," 0.1111447695"," 0.7937170961","-1.0204610302"," 0.4966605256"," 0.7123094861"," 0.4596439866","-0.7943563824"," 0.4839741383"," 0.4845560647","-2.2438722473"," 0.2749946227","-1.0493914984"," 0.7726097800","-1.4578243390"," 0.8888583152"," 0.8919085368","-1.8351956932","-0.1073134185"," 0.8878923496","-0.0002931697"," 1.2504381074"
"651.3221_26.8"," 0.26138134","-1.55722159","-1.87438993","-1.16871729","-0.13295371","-0.61663373","-0.74062485"," 0.19597292"," 0.44997401"," 1.33745325"," 0.54712566","-0.65225110"," 0.76731463","-0.44856464"," 0.84752947","-0.28683488"," 1.57590648"," 0.02147921"," 0.78253906","-1.06857121"," 1.76008691"
"651.3515_65.5"," 0.52070957"," 0.32924308","-0.10230857"," 0.01807510"," 0.48041106","-0.37387799","-0.06915587"," 0.38003881","-2.59956713"," 0.54651259"," 0.41508838","-0.65406566"," 0.88041913"," 0.39024217"," 0.47973596","-2.91461811"," 0.67631321"," 0.41508838"," 0.62089647","-0.27109188"," 0.83191129"
"651.9373_98.3"," 0.8484531"," 0.8526237","-2.0290373"," 0.8545348","-1.9964509"," 0.8061532"," 0.7445840"," 0.6605899"," 0.6630669"," 0.1293964","-1.0622182"," 0.5155118","-1.0452668"," 0.5147758","-2.0290373"," 0.5462597"," 0.3463337"," 0.0802085","-0.1426564"," 0.2409328"," 0.5012425"
"652.1384_87"," 1.244237641"," 1.133281665","-0.135695390"," 0.128728471"," 0.295058549"," 0.110837474"," 0.070482910","-1.383334373","-1.330453422","-1.212447774"," 0.488454428","-0.068143163"," 0.485992431","-0.313905362","-0.005630988"," 1.015359768"," 1.023827809","-2.657507435"," 1.089995539"," 0.705656561","-0.684795340"
"652.2837_44.4"," 0.2857577"," 0.1429867"," 0.2514511"," 0.5478517"," 0.6800470","-0.3650482","-0.4442711"," 1.0680627","-1.2193614"," 0.4439126"," 0.5914729"," 0.7421585"," 0.2426806"," 0.1739159"," 0.6613618"," 0.8083851","-0.8705041","-2.5071536","-2.4578034"," 0.6474120"," 0.5766855"
"652.324_26.9","-0.52076908","-2.22994190"," 0.11654148","-1.27602892"," 0.27742446"," 0.04767208","-0.46782971"," 1.37217279"," 0.04563327"," 0.02880404"," 0.58438207","-1.21532511"," 0.59430049","-0.37306136"," 0.99465070","-1.19826519"," 1.23852126","-0.19135072"," 1.11529447","-0.65909078"," 1.71626568"
"652.7031_62.8"," 1.07428010"," 0.96830338"," 0.59046984"," 0.69202804"," 1.18522153","-0.09261720","-0.38471219"," 0.83066248","-1.11999589"," 0.29337293"," 0.80542421","-0.05479119"," 0.14902673","-1.02328466","-0.60621773"," 1.19245484"," 0.09820603","-2.55601473","-0.16290473","-1.84608031","-0.03283147"
"653.3017_25.6","-1.906322183","-1.906322183"," 0.705314865","-1.906322183"," 0.613442828"," 0.455712886"," 0.345980117"," 0.101202821"," 1.179026245"," 0.202628598"," 0.787439478","-1.906322183"," 0.803919060"," 0.517351674"," 0.451160801"," 0.006187452"," 0.761851382"," 0.346979792","-0.091692185","-0.153511327"," 0.592294245"
