"","Fold Change","log2(FC)"
"871.6275_35.4",0.35451,-1.4961
"276.0429_67.6",2.8198,1.4956
"1085.5358_26.4",0.35588,-1.4906
"986.9938_24.8",0.35622,-1.4892
"331.1904_23.4",2.8064,1.4887
"472.3131_34.3",0.35658,-1.4877
"538.6557_61.8",2.802,1.4864
"552.9119_75.9",0.35692,-1.4863
"233.6423_270.1",0.3572,-1.4852
"977.4317_24.5",0.35724,-1.485
"638.4334_40.2",0.35739,-1.4844
"1098.2391_57.1",0.35794,-1.4822
"338.1821_95.8",0.35838,-1.4804
"592.2007_99.2",2.7902,1.4804
"659.9317_60.8",0.35852,-1.4799
"537.0013_60.7",0.35883,-1.4786
"801.5798_30.9",2.7862,1.4783
"359.2579_32.5",0.35901,-1.4779
"531.9759_99",2.779,1.4746
"509.8695_72.8",2.7778,1.4739
"475.961_75.7",2.7771,1.4736
"771.8937_98.3",2.7766,1.4733
"153.5569_136.1",2.7744,1.4722
"457.3391_26.9",0.36121,-1.4691
"305.9483_65.3",0.36127,-1.4688
"297.1269_33",0.36155,-1.4677
